Name,Ingredients,Making,Link,Type
#26,"['Grapes Red', '1 part(s) Pernod Absinthe', '1 dash(es) Sweet Vermouth', '1 splash(es) Lime Juice', '1 dash(es) Simple Syrup', 'Orange Juice']","Muddle six or seven grapes. Add ice, lime, syrup and spirits. Shake and strain into an ice-filled highball glass. Top with orange juice, and garnish with fresh grapes.
Marko Knezevic
Grass Restaurant & Lounge
Miami
Muse – Ernest Hemingway
Pernod Absinthe has partnered with noted mixologists around the country to create specialty cocktails inspired by artists and writers who were influenced by absinthe.",https://www.barnonedrinks.com/drinks/-/26-13397.html,Cocktails
$2 Fish,"['1 oz. Vodka Orange Twist', '1 oz. Tequila', '1/2 oz. Grenadine', 'Tang Drink Mix']",Combine vodka and tequilla in a highball glass. Fill to a half inch from top with tang. Swirl grenadine.,https://www.barnonedrinks.com/drinks/-/2-fish-9946.html,Cocktails
'57 Chevy,"['1 oz. Southern Comfort', '1 oz. Crown Royal', '1 oz. Amaretto', 'Pineapple Juice', 'Orange Juice', '1 splash(es) Grenadine']",Fill a highball glass with ice and pour in the liqueurs. Fill the rest of the glass with equal parts of the juices and top off with a splash of grenadine. Cover the glass with a shaker and shake well. Remove shaker from glass and serve.,https://www.barnonedrinks.com/drinks/-/57-chevy-8699.html,Cocktails
'57 Chevy #1,"['1 oz. Amaretto', '1 oz. Southern Comfort', '1 oz. Peach Schnapps', '1 splash(es) Cranberry Juice', '1 splash(es) Pineapple Juice', '1 splash(es) Orange Juice', 'dash(es) Grenadine']",Mix over ice in a hurricane glass. No girl can turn this one down.,https://www.barnonedrinks.com/drinks/-/57-chevy-1-1.html,Cocktails
'57 Chevy #2,"['1 1/2 oz. Southern Comfort', '1 1/2 oz. Grand Marnier', '1 1/2 oz. Vodka', 'Pineapple Juice']",Combine in a highball glass and top with pineapple juice.,https://www.barnonedrinks.com/drinks/-/57-chevy-2-2.html,Cocktails
'Blou' Piniella,"['3/4 oz. Stolichnaya ( Stoli ) Raspberry Vodka', '3/4 oz. Stolichnaya ( Stoli ) Vodka', '1/2 oz. Triple Sec', '1/2 oz. Blue Curacao', '1 splash(es) Sweet and Sour Mix', '7-Up']",Pour liquors over ice in a pint glass. Add a splash of sweet and sour and top off with 7-Up.,https://www.barnonedrinks.com/drinks/-/blou-piniella-7362.html,Cocktails
006,"['2 oz. Smirnoff Orange Twist Vodka', '3 oz. Smirnoff Ice', '3 oz. Orange Juice']",Pour all ingredients in a glass full of ice.,https://www.barnonedrinks.com/drinks/-/006-10077.html,Cocktails
007,"['2 oz. Stolichnaya ( Stoli ) Orange Ohranj Vodka', 'Sprite', 'Orange Juice']",Pour Vodka into a tall glass over ice. Fill with Sprite and splash the orange juice for color and flavor. Stir and serve.,https://www.barnonedrinks.com/drinks/-/007-7879.html,Cocktails
100% Extascy,"['1 oz. Vodka', '1 oz. Baileys Irish Cream']",Mix with lots of ice.,https://www.barnonedrinks.com/drinks/-/100-extascy-5.html,Cocktails
101,"['1 oz. Ice 101', '12 oz. Sprite']",Mix in a highball glass.,https://www.barnonedrinks.com/drinks/-/101-5992.html,Cocktails
