Name,Ingredients,Making,Link,Glass,Garnish,Type,Flavor
April Fool,['3 shot Chilled water'],STIR with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3430/april-fool,Martini glass,Lemon zest twist (discarded) & olive,Nonalcoholic,
Brooklyn (perfect),"['1 1⁄2 shot Straight rye whiskey (100 proof / 50% alc./vol.)', '1⁄2 shot Martini Extra Dry vermouth', '1⁄2 shot Martini Rosso sweet vermouth', '1⁄3 shot Amer Picon', '1⁄3 shot Luxardo Maraschino liqueur', '1⁄3 shot Chilled water (omit if using wet ice)']",STIR all ingredients with ice and strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/3620/brooklyn-perfect,Coupe glass,Luxardo maraschino cherry,,"['Gentle 0 - Boozy 10: 8', 'Sweet 0 - Dry/Sour 10: 6']"
Californian Margarita,"['1 1⁄2 shot Patrón Silver blanco tequila', '3⁄4 shot De Kuyper Triple Sec (40%)', '3⁄4 shot Lemon juice (freshly squeezed)', ""1⁄6 shot Difford's Falernum liqueur"", '2 drop Saline solution 4:1 (20g sea salt to 80g water)']",SHAKE all ingredients with ice and strain into ice-filled glass.,https://www.diffordsguide.com/cocktails/recipe/5390/californian-margarita,Old-fashioned glass,Salt rim (optional) & lime wedge,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 7']"
Calvados Fruit Cup (Difford's Cup No.13),"['5⁄6 shot Avallen Calvados', '5⁄6 shot Orange Curaçao liqueur', '5⁄6 shot Martini Rosso sweet vermouth', '2 dash Angostura Aromatic Bitters', '1 2⁄3 shot Thomas Henry Ginger Ale', '1 2⁄3 shot Cola (e.g. Coca Cola or Pepsi Cola)']",POUR all ingredients into glass. Half fill glass with ice. Add a citrus slice and a couple of mint leaves from garnish before filling to brim with ice. Finish with rest of garnish.,https://www.diffordsguide.com/cocktails/recipe/4215/calvados-fruit-cup-diffords-cup-no13,Collins glass,"Lemon, orange & strawberry slices, mint sprig & borage",,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
Clover Club (House-Made),"['1 1⁄2 shot Rutte Dry Gin', '1 1⁄2 spoon Raspberry jam', '1⁄2 shot Martini Extra Dry vermouth', '3⁄4 shot Lemon juice (freshly squeezed)', '1⁄3 shot Pasteurised egg white (or aquafaba)']","STIR jam with gin in base of shaker until dissolved. Add other ingredients, SHAKE with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.",https://www.diffordsguide.com/cocktails/recipe/2809/clover-club-house-made,Coupe glass,Lemon zest twist (expressed and discarded) & skewered raspberry,,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 8']"
Curtain Call,"['3 fresh Basil leaves', '1 1⁄3 shot Bacardi Carta Blanca light rum', '2⁄3 shot Lemon juice (freshly squeezed)', ""1⁄2 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", '1⁄3 shot Italian red bitter liqueur', '1 shot Brut champagne or sparkling wine']","MUDDLE basil in base of shaker. Add next 4 ingredients, SHAKE with ice and fine strain into chilled glass. TOP with champagne.",https://www.diffordsguide.com/cocktails/recipe/3917/curtain-call,Coupe glass,Black olive,,"['Gentle 0 - Boozy 10: 4', 'Sweet 0 - Dry/Sour 10: 7']"
Daiquiri,"['1 2⁄3 shot Bacardi Carta Blanca light rum', '1⁄2 shot Lime juice (freshly squeezed)', ""1⁄3 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", ""4 drop Difford's Daiquiri Bitters (optional)"", '1⁄3 shot Chilled water (omit if using wet ice)']","Cut zest from your lime for garnish prior to squeezing for juice. SHAKE all ingredients with ice and fine strain into chilled glass.

For an even better Daiquiri use 2 x 5ml measuring spoons of powdered sugar (finely ground caster sugar) in place of 10ml sugar syrup. Stir sugar with other ingredients in base of shaker prior to adding ice and shaking to ensure fully dissolved.",https://www.diffordsguide.com/cocktails/recipe/611/daiquiri,Coupe glass,Lime zest twist (discarded) & lime wedge on rim,,"['Gentle 0 - Boozy 10: 5', 'Sweet 0 - Dry/Sour 10: 6']"
Daiquiri No.1 (6:2:1 recipe),"['2 shot Havana Club 3 Year Old rum', '2⁄3 shot Lime juice (freshly squeezed)', ""1⁄3 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", ""4 drop Difford's Daiquiri Bitters (optional)""]","SHAKE all ingredients with ice and fine strain into chilled glass.

For an even better Daiquiri use 2 x 5ml measuring spoons of powdered sugar (finely ground caster sugar) in place of 10ml sugar syrup. To ensure fully dissolved, stir sugar with lime juice in base of shaker prior to adding rum and ice, and shaking.",https://www.diffordsguide.com/cocktails/recipe/5020/daiquiri-no1-621-recipe,Coupe glass,Lime wedge on rim,,"['Gentle 0 - Boozy 10: 7', 'Sweet 0 - Dry/Sour 10: 8']"
Damn It Jimmy,"['1 1⁄2 shot Sake', '1 1⁄2 shot Bacardi Carta Blanca light rum', '1⁄4 shot Fino sherry', '1⁄4 shot Martini Extra Dry vermouth', ""1⁄6 shot Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]",STIR all ingredients with ice and fine strain into chilled glass.,https://www.diffordsguide.com/cocktails/recipe/2371/damn-it-jimmy,Martini glass,Blue cheese stuffed olive,,"['Gentle 0 - Boozy 10: 9', 'Sweet 0 - Dry/Sour 10: 4']"
Difford's Fruit Cup No.1 (gin based & Pimm's Cup-like),"['5⁄6 shot Rutte Dry Gin', '5⁄6 shot Orange Curaçao liqueur', '5⁄6 shot Martini Rosso sweet vermouth', '2 dash Angostura Aromatic Bitters', '1 2⁄3 shot Thomas Henry Ginger Ale', '1 2⁄3 shot Cola (e.g. Coca Cola or Pepsi Cola)']",POUR all ingredients into glass. Half fill glass with ice. Add a citrus slice and a couple of mint leaves from garnish before filling to brim with ice. Finish with rest of garnish.,https://www.diffordsguide.com/cocktails/recipe/2169/diffords-fruit-cup-no1-gin-based-and-pimms-cup-like,Collins glass,"Lemon, orange & strawberry slices, mint sprig & borage in drink",,"['Gentle 0 - Boozy 10: 6', 'Sweet 0 - Dry/Sour 10: 6']"
