Name
A. J.
After Dinner Cocktail
After Supper Cocktail
Alabazam
Alaskan Orange
Alize Cocktail
Amaretto Shake
Ambrosia
Amer Picon Punch
American Beauty
Angel Face
Angel's Wing
Ante
Aphrodite's Love Potion
Apollo 1
Apple Blow
Apple Blow Fizz
Apple Brandy Cocktail
Apple Brandy Highball
Apple Brandy Rickey
Apple Brandy Sour
Apple Buck
Apple Car
Apple Cart
Apple Dubonnet
Apple Fizz
Apple Granny Crisp
Apple River
Apple Rouge
Apple Sunrise
Apple Toddy
Applecar
Applejack Cocktail
Applejack Collins
Applejack Daisy
Applejack Highball
Applejack Manhattan
Applejack Sour
Apricot Brandy Rickey
Apricot Fizz
April Shower
Arch de Triumph
Asphalt
B & P
B&B
B&B Collins
Bacchus
Baltimore Bracer
Banana Bliss
Bastardo
Beansy's Battleground
Bee Stinger
Belle of Ellis Island
Bengal
Bentley
Bermuda Rose
Betsy Ross
Between The Sheets
Billy Hamilton
Black and Fall
Black Baltimore
Black Feather
Black Pagoda
Blessed Event
Block and Fall
Blue Angel
Blue Edisonian
Bob Dandy
Bombay Cocktail
Bombay Sling
Bosom Caresser
Boston Iced Coffee
Boswellian Booster
Bourbon Satin
Brandied Apricot
Brandied Egg Sour
Brandied Ginger
Brandied Madeira
Brandied Port
Brandy and Soda
Brandy Benedictine Cream
Brandy Blazer
Brandy Buck
Brandy Cassis
Brandy Cobbler
Brandy Cocktail
Brandy Collins
Brandy Cooler
Brandy Crusta
Brandy Daisy
Brandy Eggnog
Brandy Fix
Brandy Fizz
Brandy Flip
Brandy Gump
Brandy Highball
Brandy Julep
Brandy Manhattan
Brandy Melba
Brandy Milk Punch
Brandy Old-Fashioned
Brandy Plush
Brandy Puff
Brandy Punch Cocktail
Brandy Rickey
Brandy Sangaree
Brandy Scaffa
Brandy Sling
Brandy Smash
Brandy Sour
Brandy Squirt
Brandy Stinger
Brandy Swizzle
Brandy Toddy
Brandy Vermouth Cocktail
Brandy Water Press
Brandy-O
Breakfast Eggnog
Breast Caresser
Bronx Cheer
Bud Herrmann Brandy
Button Hook Cocktail
Caledonia
Caliope
Calvados Cream
Canada Dream
Canario
Canyon Quake
Cape Snow
Carrol Cocktail
Champagne Cooler
Champs Elysees Cocktail
Charles Cocktail
Cherry Blossom #2
Chicago Cocktail
Chocolatier Cake
City Slicker
Classic Cocktail
Club Cocktail
Coconut Brandy Bowl
Coctel Algeria
Coffee Royale
Cold Deck Cocktail
Columbia Cocktail
Combo
Combustible Edison
Comforting Tiger
Corpse Reviver
Corpse Reviver #3
Cosmopolitan Delight
Creamy Orange
Crusta
Dance With A Dream Cocktail
Deauville Cocktail
Deidru
Depth Bomb
Diana Cocktail
Diki-Diki
Dirty Mother
Dirty White Mother
Disappointed Lady
Discovery Bay
Dizzy Dame
Dolores
Dr. Dente
Dream Cocktail #2
Dressed Up Like A Dogs Dinner
Duke of Cornwall
Eden Cocktail
Egg Sour
Emerald Cocktail #2
Ethel Duffy Cocktail
Fallen Leaves
Fancy Brandy
Fantasio Cocktail
Far West
Ferocious Flip
Ferris Wheel
Fluffy Pink Slipper
Fondling Fool
Fontainebleau Special
French 125
French Foam
French Revolution
Friar Tuck #2
Froupe Cocktail
Frozen Barcelona
Fruity Smash
Fuck Me Like An Animal
Full House
Gamble
Georgia Mint Julep
Gluhwein
Goat Herder
Golden Slipper
Grand Marnier
Grapefruit Nog
Grappa Strega
Greek Buck
Green Hornet
Green Room
Green Stinger
Happy Honey Cocktail
Hari Kari
Harvard
Harvard Cooler
Henry's Special
Holiday Brandy Alexander
Honeymoon Cocktail
Hoopla
Horse's Neck
Hot Brandy Toddy
Hyped Up Mu
International Stinger
Italian Stinger
Jack Me Off
Jack Roberts' Treat
Jack Rose
Jack Rose
Jack Rose Cocktail
Jack-In-The-Box
Jamaica Granito
Japanese Cocktail
Jersey Lightning
King's Peg
La Jolla
Ladies Sidecar
Lady Be Good
Lady Godiva
Le 333
Lemon Lady
Leo the Lion
Leviathan
Lugger
Lumumba
Madeira M'Dear
Mandarin
Marilyn Monroe
Marryat's Mint Julep
Mary's Delight
Maui Breeze
Maxim's
Mayflower Cocktail
Metropolitan
Mikado
Miss Money Penny
Moonlight
Morning Cocktail
Much Fuss for the Conquering Hero
Nantucket Cocktail
Negus
Netherland
Nicky Finn
Norman Porto Flip
Normandy Cooler
Olympic
Orchard Punch
Original Sin
Panama Cocktail
Patsy Mix
Peep Show
Phoebe Snow
Pisco Sour
Pisco Sour #2
Piscola
Pistachio Cream
Polonaise
Pompeii
Port and Brandy
Port Wine Sangaree
Portuguese Daisy
Pousse Cafe Standish
Riviera
Round-Up
Round-Up
Saratoga Cocktail
Satin Sheet
Saucy Sue Cocktail
Scooter
Separator
Shotgun Lou
Six Chicks
Slick Rick
Sol Y Sombra
Soother Cocktail
Southern Belle
Special Rough Cocktail
Stinger
Stirrup Cup
Stone Sour
Strawberry Fields Forever
Sunset Punch
Sweet Nan
Tartan Champagne Punch
Tempter Cocktail
Thunder
Tongue Tangler
Tumbleweed
Valencia Cocktail
Vruica Rakia
Warrior Cocktail
Washington Cocktail
Whip Cocktail
Widow's Kiss
Witch's Brew
Wolf's Lair
Yellow Parrot
