Name
A Goodnight Kiss
Absolut 600
Agua de Valencia
Alfonso
Ambrosia
American Flyer
American Glory
American Rose
Americana
Amsterdamned
Apricot Smoothie
Aqua Marina
Arctic Kiss
Argentine-Style Bellini
Arise My Love
Atheist's Best
Aztec
B2 C2
Bali Hai
Bellini
Bellini #2
Bellini Cocktail
Bellinski
Black Tie
Black Velvet
Blow Blue Bubbles
Blue Champagne
Blue Rox's Martini
Blue Tahoe
Blushing Bride
Bolli Stoli
Bombay Bellini
Bone Crusher
Bonecrusher
Boye Sparkle
Bubbly Martini
Buck's Fizz
Buzz Bomb
Cajun Water
Campari Champagne
Can Can
Canadian Diamond
Caribbean Champagne
Caribou Martini
Carl Josef
Carolina
Chambord and Champagne
Champagne Ambon
Champagne Bleu
Champagne Blitz
Champagne Celebration
Champagne Charlie
Champagne Cobbler
Champagne Cocktail
Champagne Cooler
Champagne Cornucopia
Champagne Cup
Champagne de Mars
Champagne Fizz
Champagne Flip
Champagne Gem
Champagne Hula
Champagne Irish Mist
Champagne Julep
Champagne Lemon
Champagne Martini
Champagne Napoleon
Champagne Passion
Champagne Polonaise
Champagne Tropicale
Champange Rita
Champbull Vodka
Champerno
Champibble
Chantelle
Chartini
Cherry Champagne
Cherry Fluster
Christini Martini
Classic Champagne Cocktail
Cockney Champagne
Cool Cucumber
Corpse Reviver #2
Count Currey
Culloden
Cunning Stunts
Curielle
Czar
Czar's Cup
D'Artagnan
Death in the Afternoon
Deep Blue
Di Saronno Mimosa
Diamond Fizz
Disco Inferno
Due Campari
Duke Cocktail
Erotica
Fancy Panties
Feel Like Holiday
Fiddlers Toast
Fireworks
First Love
Fizzgig
Fizzy Fuzzy Navel
Flirtini
Flying Zambo
Fraise de Champagne
French 125
French 68
French 75
French 75 (Cognac)
French 76
French 95
French Lift
French Pirate
French Revolution
Frisky Steve
Frobisher
Frozen Bikini
Ginger-bang Champagne
Girlie Martini
Good Old Days
Grand Mimosa
Great Idea
Green Dragon Cocktail
Guavaberry Royale
Gulf Stream
Happy Hollander
Happy New Year
Happy Youth
Harlem Mugger
Hemingway
Horn of Plenty
Hot Tub
Hotel California
Hpnotiq Heaven
I.B.U.
Incredible Heart
International Bar Fly
Irish Lady
Jackass
James Bond
Jimmy's Special
Jonathan Strange
June Sparkle
Kamora Copper
Keep it Up
King's Peg
King's Ruin
Kir Royale
Kiwi Sparkle
Kongepjolter
Kordulas Special
L'Aunisien
La Panthere Rose
Le Perroquet
Lemon Celebration
Liberty Blue Champagne
Liquid Cocaine #6
London Bus
Mandarine Imperiale
Mango Bellini
Mango Champagne
Mango Mosa
Marianne
Marilyn Monroe
Maxim's
Mexican Fuck
Midnight Kiss
Midori Champagne
Midori Cocktail
Midori Mimosa
Milk of Amnesia
Mimosa
Mimosa Moon
Monte Carlo Imperial
Mustique Whammy
Nelson's Blood
Night and Day
Nijinski Blini
Ohio
Orancio Royal
Original Sin
Palais Royal
Passat
Passion Mimosa
Peach Mimosa
Peach Treat
Peppermint Park
Pernod Fizz
Pick-Me-Up
Pimm's Royal
Pink California Sunshine
Pink Millenium
Pink Planet
Player's Passion
Poinsetta
Poinsettia
Pompey Royale
Pousse Rapier
Prince of Wales
Puerto Rican Popper
Pyrenees Greeting
Raspberries Romanoff
Raspberry Champagne Cocktail
Regatta
Ritz Bar Fizz
Ritz Cocktail
Ritz Fizz
Rose of the Ritz
Royal Bill
Royal Silver
Royal Wild Strawberry
Rue Royale
Sailor Moon
San Remo
Saronno Kir Imperial
Savoy Affair
Seelbach Cocktail
Southern Bubbles
Sparkling Hunt Punch
Stockholm 75
Strawberry Bandit
Strawberry Blonde
Strawberry Champagne
Strawberry Kir Royale
Sunset Punch
Texas Fizz
This is the Night
Tomorrow We Sail
Tropical Champagne
Turk's Blood
Typhoon
Ultra-Marine
Valencia #2
Volcano
Waverunner
Wedding Bell Punch
