Name
6am Sunrise
73 Bus
73 Bus #2
A Dixon Thing
A1 Cocktail
Abbey Cocktail
Absent Friend
Admiral Cocktail
After Dinner Mint #2
Alabama Fizz
Alaska
Alaska Cocktail
Albemarle Fizz
Alcudla
Alfonso Special
Allen Cocktail
Allied Requirements
Allies Cocktail
Almond Cocktail
Amber Dream
Amsterdam
Anesthetic
Angel's Delight
Angler's Cocktail
Anisette Cocktail
Antibes
Aperitivo
Apricot Anise Collins
Apricot-Mango Martini
April's Violet
Aqua Fodie
Aragorn
Arcadia
Archbishop
Arctic Summer
Arthur Tompkins
Arthur Tompkins
Artillery
Aruba Cocktail
Asian Fetish
Astoria
Attaboy
Aurum Cocktail
Aviation
Baby Fingers Cocktail
Bachelor's Bait
Bahamas Highball
Ball Or Head
Barcelona Fizz
Baronial
Barrier Reef
Bayard Fizz
Beauty Spot Cocktail
Bee's Knees
Beef Salad
Beetle Juice
Belmont
Bennet Cocktail
Bennett Cocktail
Bermuda Bouquet
Bermuda Cocktail
Bermuda Rose
Bernardo
Betty Paige
Biffy Cocktail
Big Red Cocktail
Big Stick
Bijou Cocktail
Billy Taylor
Bird of Paradise Cooler
Bird of Paradise Fizz
Bitch-On-Wheels
Bitter Christina
Bitter Lime
Black Martini
Blackpool Tower
Blackthorn
Blonde Jenny
Bloodhound Cocktail
Bloody Sun
Blue Bruiser Cocktail
Blue Canary
Blue Cowboy
Blue Devil Cocktail
Blue Jacket
Blue Moon
Blue Moon Martini
Blue Riband
Blue Train
Blueberry Martini
Bluebird
Boomerang
Boomerang Martini
Born on the 4th of July
Boxcar
Bramble
Breakfast Martini
Bridesmaid Cooler
British Comfort
Brittany Cocktail
Broadway Martini
Bronx Cocktail
Bronx Golden Cocktail
Bronx Silver Cocktail
Bronx Terrace Cocktail
Bubbly Martini
Buckeye Martini
Bulldog Cocktail
Bulldog Cooler
Bulldog Highball
Bumble Bee #3
Bumpy Grapefruit
Byrrh Special
Cabaret
Cabaret Martini
Cafe de Paris
Cafe de Paris Cocktail
Candy Rider
Cape Cod Cooler
Captain Cook
Captain's Table
Caricature Cocktail
Carl Johan
Carla
Caruso
Caruso Blanco
Casino Cocktail
Casino Royale
Cat's Eye
Cesar Ritz
Champagne Fizz
Chanticleer
Chaos Calmer
Charlie Chaplin
Chatham Cocktail
Cheat's Pimm's
Chelsea Hotel
Chelsea Sidecar
Cherry Cobbler
Cherry Crush
Cherry Kiss
Chocolate Sailor
Chocolate Soldier
Chris Crush
Christmas Martini
Christmas Tree Water
Chunnel Cocktail
Church Lady Martini
City Rickey
Cloister
Cloudy Sky
Clover Club Cocktail
Coco Channel
Coco's Cocktail
Coconut Gin
Codswallop
Colby's Delight
Colonial Cocktail
Colony Club Martini
Colony Room Cocktail
Confirmed Bachelor
Connecticut Bulldog
Cooperstown Cocktail
Cornell Cocktail
Coronado Cocktail
Coronation Cocktail
Corvette
Count Blythe
Count Currey
Cream Fizz
Creme de Gin
Creme de Gin Cocktail
Crimson Cocktail
Crimson Sunset
Crooked Sister
Crystal Slipper Cocktail
