Name
After Dinner Mint
Alhambra
Alhambra Royale
Apple Toddy
Blue Blazer #2
Brandy Toddy
Bumpo
Canadian Cocoa
Chai Toddy
Chocolate Shock
Danish Toddy
Dot's Hot Spot
Dreamy Chocolate Winter
Dreamy Winter
Dreamy Winter Delight
Dreamy Winter Night
Dressed Up Like A Dogs Dinner
Dressed Up Pina Colada
Galliano Toddy
Gin Toddy
Goldie
Hot Frenchman
Hot Gin
Hot Irish
Hot Jamaican
Hot M.M.M.
Hot Scotch
Hot Scotch Nightcap
Hot Whiskey
Jean Gabin
Negus
Red Mouth
Red Rudolph
Rock-and-Rye Toddy
Rum Toddy
Sweet and Hot
Vruica Rakia
Whiskey Hot Toddy
