Name,Ingredients,Making,Link,Base
Left Hand,"['1 1/2 ounces bourbon', '3/4 ounce Campari', '3/4 ounce sweet vermouth (preferably Carpano Antica)', '3 dashes chocolate bitters (such as Bittermen’s)', 'Garnish: brandied cherry']","Add all ingredients into a mixing glass with ice and stir until well-chilled.
Strain into a chilled coupe glass.
Garnish with a brandied cherry.",https://www.liquor.com/left-hand-cocktail-recipe-6743050,Bourbon Cocktails
Kentucky Buck,"['2 small strawberries, hulled', '3/4 ounce rich ginger syrup (3 parts sugar to 4 parts ginger juice)', '2 ounces bourbon', '3/4 ounce lemon juice, freshly squeezed', '2 dashes Angostura bitters', 'Club soda, chilled, to top Club soda, chilled, to top (about 2-3 ounces)', 'Garnish: lemon wheel', 'Garnish: strawberry slice']","In a shaker, muddle the strawberries with the ginger syrup.
Add the bourbon, lemon juice, and bitters, plus ice, and shake until well-chilled.
Strain into a Collins glass filled with fresh ice.
Top with the club soda.
Garnish with a lemon wheel and a strawberry slice.",https://www.liquor.com/kentucky-buck-cocktail-recipe-6740524,Bourbon Cocktails
Kentucky Maid,"['8 mint leaves', '2 thin cucumber slices', '3/4 ounce simple syrup', '2 ounces bourbon (preferably Elijah Craig Small Batch)', '1 ounce lime juice, freshly squeezed', 'Garnish: mint sprig skewed through a cucumber slice']","Place the mint leaves in a shaker and top with the cucumber slices. Add the simple syrup and gently muddle, making sure to break up the cucumber skins.
Add the bourbon and lime juice, plus ice, and shake until well-chilled.
Strain into a double rocks glass over one large ice cube.
Garnish with the mint sprig skewered through a cucumber wheel.",https://www.liquor.com/kentucky-maid-cocktail-recipe-6543313,Bourbon Cocktails
Improved Whiskey Cocktail,"['2 ounces bourbon or rye whiskey', '1 barspoon maraschino liqueur', '1/4 ounce simple syrup', '1 dash absinthe', '1 dash Angostura bitters', '1 dash Peychaud’s bitters', 'Garnish: lemon twist']","Add all ingredients into a mixing glass with ice and stir until well-chilled.
Strain into a rocks glass over one large ice cube.
Garnish with a lemon twist.",https://www.liquor.com/improved-whiskey-cocktail-recipe-6503380,Bourbon Cocktails
Mint Julep,"['8 mint leaves', '1/4 ounce simple syrup', '2 ounces bourbon', 'mint sprig', 'bitters']","In a Julep cup or rocks glass, lightly muddle the mint leaves in the simple syrup.
Add the bourbon then pack the glass tightly with crushed ice.
Stir until the cup is frosted on the outside.
Top with more crushed ice to form an ice dome, and garnish with a mint sprig and a few drops of bitters (optional).
Firmly slap the mint sprig on the back of your hand before garnishing; this releases the oils to make the mint more aromatic.",https://www.liquor.com/recipes/mint-julep/,N/A
Whiskey Smash,"['3 lemon wedges', '2 ounces bourbon', '3/4 ounce simple syrup', '4 mint leaves', 'mint sprig']","Muddle the lemon wedges in a shaker.
Add bourbon, simple syrup, mint leaves and ice, and shake until well-chilled.
Double-strain into a rocks glass over fresh ice.
Garnish with a mint sprig.
Firmly slap the mint sprig on the back of your hand before garnishing; this releases the oils to make the mint more aromatic.",https://www.liquor.com/recipes/whiskey-smash/,N/A
Lynchburg Lemonade,"['1 ounce whiskey', '1 ounce triple sec', '1/2 ounce lemon juice', '1/2 ounce simple syrup', '4 ounces lemon-lime soda', 'lemon wedge']","Add the Jack Daniel’s, triple sec, lemon juice and simple syrup into a shaker with ice and shake until well-chilled.
Strain into a highball glass filled with ice.
Top with the lemon-lime soda and stir gently and briefly to combine.
Garnish with a lemon wedge.",https://www.liquor.com/lynchburg-lemonade-cocktail-recipe-5199408,N/A
Bourbon Strawberry Iced Tea,"['2 large fresh strawberries', '1 ounce lemon juice', '2 ounces bourbon', '3/4 ounce rich simple syrup', 'Unsweetened iced tea', 'blueberries', 'strawberries', 'mint sprig']","Add the strawberries and lemon juice into a shaker and gently muddle.
Add the bourbon and simple syrup, add ice, and shake until well-chilled.
Strain into a Collins glass over fresh ice.
Top with unsweetened iced tea.
Garnish with skewered blueberries and strawberries and a mint sprig.",https://www.liquor.com/recipes/bourbon-strawberry-iced-tea/,N/A
Gold Rush,"['2 ounces bourbon', '3/4 ounce lemon juice', 'ounce honey syrup', 'lemon twist']","Add the bourbon, honey syrup, and lemon juice into a shaker with ice and shake until well-chilled.
Strain into a chilled rocks glass over one large ice cube.
Garnish with a lemon twist.",https://www.liquor.com/recipes/gold-rush/,N/A
Shandy Maker,"['2-4 leaves fresh marjoram', '1 3/4 ounces Old Forester 100-proof bourbon', '3/4 ounce grapefruit juice, freshly squeezed', '1/4 ounce lemon juice, freshly squeezed', '1/4 ounce simple syrup', '3 ounces Deschutes Fresh Squeezed IPA, chilled', 'Garnish: grapefruit twist']","In a mixing glass, dry-muddle the marjoram.
Add the Old-Forester bourbon, grapefruit juice, lemon juice and simple syrup into the mixing glass. Fill with ice and shake until well-chilled.
Strain into a pint glass over fresh ice.
Top with the beer and stir briefly and gently to combine.
Garnish with a grapefruit twist.",https://www.liquor.com/recipes/shandy-maker/,N/A
Irish Maid,"['2 slices cucumber, cut into quarter-inch slices', '2 ounces Irish whiskey', '1/2 ounce St-Germain elderflower liqueur', '3/4 ounce lemon juice, freshly squeezed', '3/4 ounce simple syrup', 'Garnish: cucumber slice']","Muddle the cucumber slices in a shaker.
Add the Irish whiskey, St-Germain, lemon juice and simple syrup into a shaker with ice and shake until well-chilled.
Fine-strain into a chilled rocks glass over fresh ice.
Garnish with a cucumber slice.",https://www.liquor.com/recipes/irish-maid/,N/A
Northern Harvest Buck,"['1 1/2 ounces whiskey', '3/4 ounces lime juice', '3 ounces ginger beer', '2 dashes bitters', 'lemon wheel', 'mint sprig']","Add the rye and lime juice into a shaker with ice and shake until well-chilled.
Strain into a highball glass over fresh ice.
Add the bitters, and top with the chilled ginger beer.
Garnish with a lemon wheel and mint sprig.",https://www.liquor.com/recipes/northern-harvest-buck/,N/A
